senator_companies,BorrowerName,match_type,file_location,senator_full_name,asset,state,asset_cleaned,BorrowerAddress,BorrowerState,JobsReported,ForgivenessAmount,state_match,address_alligned_with_senators_companies
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality III, LLC
 
 Company: Bird Dog Hospitality III, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality III, LLC",221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE,Yes
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality IV, LLC
 
 Company: Bird Dog Hospitality IV, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality IV, LLC",221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE,Yes
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality V, LLC
 
 Company: Bird Dog Hospitality V, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality V, LLC",221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE,Yes
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality Fund II, LLC
 
 Company: Bird Dog Hospitality Fund II,
 LLC (Sioux Falls, SD) Description: Business
 Entity which holds underlying asset",SD,"Bird Dog Hospitality Fund II,
  LLC",221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE,Yes
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"BDH2 -
 Marshall
 
 Company: Bird Dog Hospitality 2 (Sioux
 Falls, SD) Description: Business Entity which
 holds underlying asset",SD,Bird Dog Hospitality 2,221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE,Yes
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"BDH2 -
 Valentine
 
 Company: Bird Dog Hospitality 2 (Sioux
 Falls, SD) Description: Business Entity which
 holds underlying asset",SD,Bird Dog Hospitality 2,221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE,Yes
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"BDH2 - New
 Ulm
 
 Company: Bird Dog Hospitality 2 (Sioux
 Falls, SD) Description: Business Entity which
 holds underlying asset",SD,Bird Dog Hospitality 2,221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE,Yes
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"BDH2 -
 Shoreview
 
 Company: Bird Dog Hospitality 2 (Sioux
 Falls, SD) Description: Business Entity which
 holds underlying asset",SD,Bird Dog Hospitality 2,221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE,Yes
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,Mike Rounds,"Bird Dog Hospitality Fund I
 Sioux Falls, SD",SD,Bird Dog Hospitality Fund I,221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE,Yes
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,Mike Rounds,"Bird Dog Hospitality Fund II
 Sioux Falls, SD",SD,Bird Dog Hospitality Fund II,221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE,Yes
CRAPO,CRAPO HOLDINGS LLC,single,ppp_slices/file_11_900000.rds,michael d crapo,"Crapo Enterprises
 LLC
 
 Company: Crapo Enterprises LLC
 (Bountiful, UT) Description: Business entity
 that holds residential property",UT,"Crapo Enterprises
  LLC",1550 South 552 East,UT,1,2628.36,TRUE,Yes
CRAPO,CRAPO HOLDINGS LLC,single,ppp_slices/file_11_900000.rds,Michael D Crapo,"Crapo Enterprises LLC
 Bountiful, UT",UT,Crapo Enterprises LLC,1550 South 552 East,UT,1,2628.36,TRUE,Yes
NEW GEORGIA,NEW GEORGIA PROJECT INC.,single,ppp_slices/file_us_300000.rds,Raphael Warnock,"New Georgia Project
 Atlanta, GA",GA,New Georgia Project,65 Courtland st,GA,95,486391.56,TRUE,Yes
EBENEZER BAPTIST CHURCH,"EBENEZER BAPTIST CHURCH OF ATLANTA, GEORGIA, INC.",single,ppp_slices/file_us_300000.rds,Raphael Warnock,"Ebenezer Baptist Church
 Atlanta, GA",GA,Ebenezer Baptist Church,101 Jackson Street N.E.,GA,25,182365.28,TRUE,NA
SYMCO,SYMCO GROUP INC,multiple,ppp_slices/file_us_300000.rds,sheldon whitehouse,"Symco Group Inc
 (inv of Seaview Mezzanine, LP
 Company: Symco Group Inc (Buford,
 GA) Description: solution provider to print
 production, etc",GA,Symco Group Inc,5012 BRISTOL INDUSTRIAL WAY Suite 105,GA,16,NA,TRUE,Yes
SYMCO,SYMCO GROUP INC,multiple,ppp_slices/file_us_300000.rds,sheldon whitehouse,"Symco Group Inc
 (inv of Seaview Mezzanine, LP
 Company: Symco Group Inc (Buford,
 GA) Description: solution provider to print
 production, etc",GA,Symco Group Inc,5012 Bristol Industrial Way Ste 105,GA,16,NA,TRUE,Yes
CRAPO,"CRAPO, LTD.",multiple,ppp_slices/file_us_400000.rds,michael d crapo,"Crapo Estate
 Holdings LLC
 
 Company: Crapo Estate Holdings LLC
 (Idaho Falls, ID) Description: Business entity
 that holds ranchland",ID,"Crapo Estate
  Holdings LLC",130 E Industrial Road,ID,52,470560.09,TRUE,NA
CRAPO,"CRAPO, LTD.",multiple,ppp_slices/file_us_400000.rds,Michael D Crapo,"Crapo Estate Holdings LLC
 Idaho Falls, ID",ID,Crapo Estate Holdings LLC,130 E Industrial Road,ID,52,470560.09,TRUE,NA
CRAPO,"CRAPO TRUCKING, INC.",multiple,ppp_slices/file_us_400000.rds,michael d crapo,"Crapo Estate
 Holdings LLC
 
 Company: Crapo Estate Holdings LLC
 (Idaho Falls, ID) Description: Business entity
 that holds ranchland",ID,"Crapo Estate
  Holdings LLC",130 E Industrial Park Road,ID,21,178695.28,TRUE,NA
CRAPO,"CRAPO TRUCKING, INC.",multiple,ppp_slices/file_us_400000.rds,Michael D Crapo,"Crapo Estate Holdings LLC
 Idaho Falls, ID",ID,Crapo Estate Holdings LLC,130 E Industrial Park Road,ID,21,178695.28,TRUE,NA
ATLAS-HERITAGE,ATLAS-HERITAGE TITLE LLC,single,ppp_slices/file_us_600000.rds,jeanne shaheen,"Atlas-Heritage
 Title Company
 Company: Atlas-Heritage Title Co., LLC
 (Dover, NH) Description: Title
 services Filer comment: Shaheen Enterprises LLC has
 had a ½ interest in this asset.",NH,"Atlas-Heritage
  Title Company",903 CENTRAL AVE 5,NH,16,193944.47,TRUE,Yes
STRAND,"STRAND BOOK STORES, INC",multiple,ppp_slices/file_us_700000.rds,ron l wyden,"Strand Book Store
 Inc. (S-Corp)
 Description: Book Store (New York,
 NY)",NY,"Strand Book Store
  Inc.",828 BROADWAY,NY,212,1769590,TRUE,Yes
STRAND,STRAND BOOK STORE INC,multiple,ppp_slices/file_us_700000.rds,ron l wyden,"Strand at Columbus
 Ave LLC
 Company: Strand at Columbus Ave LLC
 (New York, NY) Description: Book
 Store",NY,"Strand at Columbus
  Ave LLC",828 Broadway Fl 10,NY,95,937866.4,TRUE,Yes
FRED JONES ENTERPRISES,"FRED JONES ENTERPRISES, LLC",single,ppp_slices/file_us_800000.rds,"William F Hagerty, IV","Fred Jones Enterprises
 Oklahoma City, Oklahoma",OK,Fred Jones Enterprises,"6200 SW 29th Street, Suite A",OK,104,1566303.23,TRUE,Yes
BASE4,"BASE4 VENTURES, LLC",single,ppp_slices/file_us_900000.rds,mark r warner,"Base4 Group,
 Inc.
 Description: Wholesale
 Company (Dallas, TX)",TX,"Base4 Group,
  Inc.",4393 Sunbelt Drive,TX,22,444994.93,TRUE,Yes
EAKIN PARTNERS,"EAKIN PARTNERS, LLC",multiple,ppp_slices/file_us_900000.rds,"william f hagerty, iv","Eakin Partners,
 LLC
 
 Company: Eakin Partners, LLC
 (Nashville, Tennessee) Description: Local real
 estate investments in Nashville, TN market",TN,"Eakin Partners,
  LLC",1201 DEMONBREUN ST,TN,19,243350.98,TRUE,Yes
EAKIN PARTNERS,EAKIN PARTNERS LLC,multiple,ppp_slices/file_us_900000.rds,"william f hagerty, iv","Eakin Partners,
 LLC
 
 Company: Eakin Partners, LLC
 (Nashville, Tennessee) Description: Local real
 estate investments in Nashville, TN market",TN,"Eakin Partners,
  LLC",1201 Demonbreun St,TN,19,243152.3,TRUE,Yes
