"","senator_full_name","asset","state","BorrowerName.x","BorrowerName.y"
"1","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJE LLC"
"2","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","PAL 3 LLC"
"3","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJJA LLC"
"4","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJSI LLC"
"5","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","BAY 3 LLC"
"6","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJE LLC"
"7","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","PAL 3 LLC"
"8","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJJA LLC"
"9","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJSI LLC"
"10","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","BAY 3 LLC"
"11","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","CMSM LLC"
"12","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","SMSK LLC"
"13","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","PMG LLC"
"14","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","SG LLC"
"15","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","MMSR LLC"
"16","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EISN LLC"
"17","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","ECSC LLC"
"18","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EMD LLC"
"19","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EMID LLC"
"20","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EMEB LLC"
"21","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EMAS, LLC"
"22","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EE&SG LLC"
"23","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EMJN LLC"
"24","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EASE LLC"
"25","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EHSS LLC"
"26","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","MS4 LLC"
"27","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","RDSG LLC"
"28","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","DMSP LLC"
"29","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","OMSK LLC"
"30","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EMCH LLC"
"31","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","NMSA LLC"
"32","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","RMG LLC"
"33","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","CMHG LLC"
"34","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","MEBG LLC"
"35","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","SRP, LLC"
"36","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","JR, LLC"
"37","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FCR, LLC"
"38","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","JBA, LLC"
"39","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FAZ LLC"
"40","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","RAM LLC"
"41","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FPT, LLC"
"42","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","TRAM LLC"
"43","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","KHA, LLC"
"44","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FBM, LLC"
"45","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FRDC LLC"
"46","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","URAN LLC"
"47","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","RFP, LLC"
"48","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","RRI, LLC"
"49","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FA LLC"
"50","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FCN, LLC"
"51","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","LRK, LLC"
"52","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","GFA, LLC"
"53","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","CRA1 LLC"
"54","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","WKA, LLC"
"55","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","BRAG, LLC"
"56","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","BRAG LLC"
"57","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","NRO, LLC"
"58","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FCFA, LLC"
"59","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","SRJ, LLC"
