"","senator_full_name","asset","state","BorrowerName.x","BorrowerName.y"
"23","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EAG LLC"
"24","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","GFSG LLC"
"25","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","E&SI LLC"
"26","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","TMG LLC"
"27","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","FMG LLC"
"28","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","MSU LLC"
"29","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","ETS, LLC"
"30","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","HSG LLC"
"31","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","NSG LLC"
"32","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","ETS LLC"
"33","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","DMS7 LLC"
"34","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","MYG LLC"
"35","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","ETG LLC"
"36","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","REMS LLC"
"37","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EMIA LLC"
"38","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","DRC, LLC"
"39","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","MRM, LLC"
"40","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","GRC, LLC"
"41","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","SHA, LLC"
"42","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","ERAD, LLC"
"43","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","GRAY LLC"
"44","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","RFT, LLC"
"45","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","TRN, LLC"
"46","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","MDA, LLC"
"47","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","MRDA, LLC"
"48","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","ERA, LLC"
"49","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","RAJ LLC"
"50","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FWI, LLC"
"51","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","LRW, LLC"
"52","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","NRA LLC"
"53","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","IAR, LLC"
"54","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FARS LLC"
"55","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","BRP, LLC"
"56","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","AFRAZ LLC"
"57","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","ZAA, LLC"
"58","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","LRS, LLC"
"59","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","JRAH LLC"
"60","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FRRM LLC"
"61","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","RAN LLC"
"62","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","8RM, LLC"
"63","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FROK LLC"
"64","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","MREA, LLC"
"65","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","ORF, LLC"
"66","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FDM, LLC"
"67","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","BLA, LLC"
"68","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","RAE LLC"
"69","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","AIRA, LLC"
"70","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FMV, LLC"
"71","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FMAC LLC"
"72","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FEX, LLC"
"73","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","JRAM LLC"
"74","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","HFRV, LLC"
"75","joseph manchin, iii","A&P,
LLC

Company: A&P, LLC (Fairmont, West
Virginia) Description: Commercial property
investment and management","WV","A&P,
 LLC","A&Z, LLC"
"76","roger f wicker","CTECBX -
CTECBX
Description: global asset management
and investment advisory division of Guggenheim
Partners (Chicago, IL)","IL","CTECBX","CTECH"
"77","Daniel S Sullivan","MARSOC
Camp Legeune, NC","NC","MARSOC","MARGO"
"78","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","DRC, LLC"
"79","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","MRM, LLC"
"80","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","GRC, LLC"
"81","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","SHA, LLC"
"82","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","ERAD, LLC"
"83","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","GRAY LLC"
"84","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","RFT, LLC"
"85","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","TRN, LLC"
"86","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","MDA, LLC"
"87","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","MRDA, LLC"
"88","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","ERA, LLC"
"89","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","RAJ LLC"
"90","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FWI, LLC"
"91","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","LRW, LLC"
"92","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","NRA LLC"
"93","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","IAR, LLC"
"94","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FARS LLC"
"95","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","BRP, LLC"
"96","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","AFRAZ LLC"
"97","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","ZAA, LLC"
"98","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","LRS, LLC"
"99","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","JRAH LLC"
"100","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FRRM LLC"
"101","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","RAN LLC"
"102","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","8RM, LLC"
"103","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FROK LLC"
"104","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","MREA, LLC"
"105","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","ORF, LLC"
"106","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FDM, LLC"
"107","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","BLA, LLC"
"108","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","RAE LLC"
"109","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","AIRA, LLC"
"110","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FMV, LLC"
"111","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FMAC LLC"
"112","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FEX, LLC"
"113","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","JRAM LLC"
"114","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","HFRV, LLC"
"115","","","","","P"
"116","","","","","J"
"117","","","","","E"
"118","","","","","DS"
"119","","","","","B"
"120","","","","","LH"
"121","","","","","4P"
"122","","","","","4H"
"123","","","","","-"
