"","senator_full_name","asset","state","BorrowerName.x","BorrowerName.y"
"1","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJI3 LLC"
"2","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","PAR 3 LLC"
"3","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","EJ3 LLC"
"4","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJI3 LLC"
"5","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","PAR 3 LLC"
"6","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","EJ3 LLC"
"7","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","VMS, LLC"
"8","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","MSGM LLC"
"9","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","KMG LLC"
"10","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","SSG LLC"
"11","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EMSM LLC"
"12","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","TPSG LLC"
"13","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","PMBG LLC"
"14","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","JMSA LLC"
"15","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EMI LLC"
"16","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","PSMG LLC"
"17","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FAB LLC"
"18","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","LRA, LLC"
"19","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","RMA, LLC"
"20","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","HORA, LLC"
"21","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","AOA, LLC"
"22","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FRLV LLC"
"23","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","AWA, LLC"
"24","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FND, LLC"
"25","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","RVRA, LLC"
"26","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","GFIA, LLC"
"27","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","GMA, LLC"
"28","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","RRA LLC"
"29","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","URAL LLC"
"30","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","EIA, LLC"
"31","Daniel S Sullivan","MARSOC
Camp Legeune, NC","NC","MARSOC","MARIO"
"32","Daniel S Sullivan","MARSOC
Camp Legeune, NC","NC","MARSOC","MARCOS"
"33","Daniel S Sullivan","MARSOC
Camp Legeune, NC","NC","MARSOC","MARLON"
"34","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FAB LLC"
"35","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","LRA, LLC"
"36","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","RMA, LLC"
"37","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","HORA, LLC"
"38","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","AOA, LLC"
"39","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FRLV LLC"
"40","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","AWA, LLC"
"41","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FND, LLC"
"42","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","RVRA, LLC"
"43","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","GFIA, LLC"
"44","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","GMA, LLC"
"45","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","RRA LLC"
"46","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","URAL LLC"
"47","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","EIA, LLC"
"48","","","","","N"
"49","","","","","JO"
"50","","","","","L."
"51","","","","","JE"
"52","","","","","C6"
