"","senator_full_name","asset","state","BorrowerName.x","BorrowerName.y"
"1","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AH I LLC"
"2","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","ARC3 LLC"
"3","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AH I LLC"
"4","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","ARC3 LLC"
"5","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EBCG LLC"
"6","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","ZMG LLC"
"7","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","MMSG LLC"
"8","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","JMAG LLC"
"9","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","MSGA LLC"
"10","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EME LLC"
"11","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","ESF LLC"
"12","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EMMH LLC"
"13","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","HMG LLC"
"14","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","JMS, LLC"
"15","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FRG, LLC"
"16","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FFI, LLC"
"17","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","RCA, LLC"
"18","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FORE, LLC"
"19","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","MIRA, LLC"
"20","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","RAD LLC"
"21","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FIRA LLC"
"22","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","GRAY LLC"
"23","Daniel S Sullivan","MARSOC
Camp Legeune, NC","NC","MARSOC","MARCO"
"24","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FRG, LLC"
"25","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FFI, LLC"
"26","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","RCA, LLC"
"27","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FORE, LLC"
"28","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","MIRA, LLC"
"29","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","RAD LLC"
"30","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FIRA LLC"
"31","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","GRAY LLC"
"32","","","","","E"
"33","","","","","N"
