"","senator_full_name","asset","state","BorrowerName.x","BorrowerName.y"
"1","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","K 3 LLC"
"2","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","A2 R LLC"
"3","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJWA LLC"
"4","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","KWJ 3 LLC"
"5","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AK83 LLC"
"6","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJDJ LLC"
"7","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","K 3 LLC"
"8","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","A2 R LLC"
"9","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJWA LLC"
"10","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","KWJ 3 LLC"
"11","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AK83 LLC"
"12","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJDJ LLC"
"13","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","BMIG LLC"
"14","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EST LLC"
"15","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","CMHG LLC"
"16","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","QMSC LLC"
"17","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EMG, LLC"
"18","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EXS LLC"
"19","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","ESR LLC"
"20","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EMSRX LLC"
"21","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","ERSW LLC"
"22","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EMGK LLC"
"23","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","SFIA, LLC"
"24","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","HVA, LLC"
"25","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FYP, LLC"
"26","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FS4, LLC"
"27","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","RAU LLC"
"28","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FEAT LLC"
"29","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","KRA LLC"
"30","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FARAJ LLC"
"31","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","IBA, LLC"
"32","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FLAS LLC"
"33","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","BRAM LLC"
"34","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","WRA LLC"
"35","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","TLA, LLC"
"36","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","KFA, LLC"
"37","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","QAR, LLC"
"38","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FJAW, LLC"
"39","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FOTA, LLC"
"40","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","KR2, LLC"
"41","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","CURA, LLC"
"42","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","FDRZ, LLC"
"43","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","VSRA, LLC"
"44","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","PYA, LLC"
"45","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","KRAG LLC"
"46","mike rounds","FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership","SD","FRA, LLC","VRB, LLC"
"47","joseph manchin, iii","A&P,
LLC

Company: A&P, LLC (Fairmont, West
Virginia) Description: Commercial property
investment and management","WV","A&P,
 LLC","N&P, LLC"
"48","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","SFIA, LLC"
"49","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","HVA, LLC"
"50","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FYP, LLC"
"51","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FS4, LLC"
"52","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","RAU LLC"
"53","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FEAT LLC"
"54","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","KRA LLC"
"55","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FARAJ LLC"
"56","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","IBA, LLC"
"57","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FLAS LLC"
"58","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","BRAM LLC"
"59","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","WRA LLC"
"60","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","TLA, LLC"
"61","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","KFA, LLC"
"62","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","QAR, LLC"
"63","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FJAW, LLC"
"64","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FOTA, LLC"
"65","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","KR2, LLC"
"66","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","CURA, LLC"
"67","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","FDRZ, LLC"
"68","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","VSRA, LLC"
"69","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","PYA, LLC"
"70","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","KRAG LLC"
"71","Mike Rounds","FRA, LLC
Pierre, SD","SD","FRA, LLC","VRB, LLC"
"72","","","","","N"
"73","","","","","HH"
"74","","","","","-"
"75","","","","","C3"
